timestamp,pv_voltage_V,pv_current_A,pv_power_W,pv_status,battery_voltage_V,battery_current_A,battery_charge_power_W,battery_charge_set_W,battery_charge_voltage_V,battery_ovp_V,battery_uvp_V,grid_voltage_V,grid_current_A,grid_input_power_W,grid_charge_power_W,grid_freq_Hz,grid_status,output_switch,output_voltage_V,output_current_A,output_power_W,output_freq_Hz,temp_inverter_C,temp_boost_C,temp_transformer_C,fan_current_pct,fan_setpoint_pct,op_mode,inverter_on,ac_charging,bypassing,fault_active,faults,warnings,fault_code
2026-06-12T17:11:04.075557,0.2,0.0,0,Abnormal,49.0,0.0,0,68,51.2,0.8,26.0,13.6,0.04,28,12,48.68,Normal,0,0.0,0.0,0,0.0,6.4,25.7,0.0,0,21845,PV fault,0,1,0,0,,,0
2026-06-12T17:11:07.075637,0.2,0.0,0,Abnormal,12.4,0.0,0,68,51.2,0.8,26.0,6.9,0.34,6,6,46.13,Abnormal,0,0.0,0.0,0,0.0,32.1,26.0,0.0,0,21845,PV fault,0,0,0,0,,,0
2026-06-12T17:11:10.075979,0.2,0.0,0,Abnormal,8.4,0.0,0,68,51.2,59.2,38.6,20.0,0.05,34,34,43.58,Normal,0,0.0,0.0,0,0.0,32.1,26.0,0.0,0,-21762,PV fault,0,0,0,0,,,0
2026-06-12T17:11:13.075755,0.2,0.0,0,Abnormal,50.4,0.0,0,96,51.2,8.8,38.6,20.0,0.05,34,34,48.68,Normal,0,0.0,0.0,0,0.0,32.1,3.2,0.0,0,21847,PV fault,0,0,0,0,,,0
2026-06-12T17:11:16.075893,0.2,0.0,0,Abnormal,42.6,0.0,0,68,51.2,8.0,38.6,218.0,0.34,40,40,48.68,Abnormal,0,0.0,0.0,0,0.0,6.8,25.7,0.0,0,-2219,State 0,0,1,0,0,,,0
2026-06-12T17:11:19.075918,0.2,0.0,0,Abnormal,8.5,0.1,0,68,51.2,8.0,38.6,218.6,0.37,40,40,48.68,Abnormal,0,0.0,0.0,0,0.0,32.4,0.1,0.0,0,-2219,PV fault,0,0,0,0,,,0
2026-06-12T17:11:22.075868,0.2,0.0,0,Abnormal,8.7,0.0,0,96,51.2,60.0,13.0,218.4,0.38,40,12,43.57,Normal,0,0.0,0.0,0,0.0,32.4,0.1,0.0,0,21866,PV fault,0,0,0,0,,,0
2026-06-12T17:11:25.075928,0.0,0.0,0,Abnormal,34.0,0.0,17,96,51.2,60.0,38.6,218.4,0.32,19,17,46.12,Abnormal,0,0.0,0.0,0,0.0,7.0,29.2,0.0,0,21866,State 0,0,0,0,0,,,0
2026-06-12T17:11:28.076278,0.2,0.0,0,Abnormal,9.4,0.0,0,68,0.0,60.0,0.6,218.4,0.34,19,17,46.12,Abnormal,0,0.0,0.0,0,0.0,7.0,29.2,0.0,0,21930,State 0,0,0,0,0,,,0
2026-06-12T17:11:31.076413,0.0,0.0,0,Abnormal,34.0,0.0,0,100,51.2,59.2,0.6,224.9,0.04,5,7,5.16,Abnormal,0,0.0,0.0,0,0.0,7.0,29.2,0.0,0,21845,State 0,0,0,0,0,,,0
2026-06-12T17:11:34.076150,0.0,0.0,0,Abnormal,35.1,0.0,0,100,51.2,59.2,0.6,225.2,0.05,1,33,43.56,Normal,0,0.0,0.0,0,0.0,26.4,0.5,0.0,0,21845,PV fault,0,0,0,0,,,0
2026-06-12T17:11:37.076270,0.0,0.0,0,Abnormal,34.0,0.0,0,68,51.2,60.0,13.4,7.8,0.05,39,39,48.64,Abnormal,0,0.0,0.0,0,0.0,1.0,26.1,0.0,0,21930,PV fault,0,1,0,0,,,0
2026-06-12T17:11:40.076306,0.0,0.0,0,Abnormal,34.0,0.0,0,68,51.2,60.0,13.4,7.8,0.05,32,5,43.56,Normal,0,0.0,0.0,0,0.0,32.2,0.4,0.0,0,21930,PV fault,0,0,0,0,,,0
2026-06-12T17:11:43.076624,0.0,0.0,0,Abnormal,50.2,0.0,0,96,0.0,60.0,38.6,211.7,0.05,10,10,6.4,Abnormal,0,0.0,0.0,0,0.0,32.0,3.8,0.0,0,21975,PV shutdown,0,0,0,0,,,0
2026-06-12T17:11:46.076774,0.0,0.0,0,Abnormal,42.6,0.0,0,4,0.0,59.2,26.0,6.9,0.34,20,20,6.4,Normal,0,0.0,0.0,0,0.0,32.1,26.2,0.0,0,-5377,PV fault,0,0,0,0,,,0
2026-06-12T17:11:49.076625,0.0,0.0,0,Abnormal,34.8,0.0,0,68,0.0,8.0,26.2,211.7,0.34,20,20,43.57,Normal,0,0.0,0.0,0,0.0,32.4,26.1,0.0,0,24253,State 0,0,0,0,0,,,0
2026-06-12T17:11:52.076721,0.0,0.0,0,Abnormal,34.8,0.0,0,100,0.0,59.2,26.2,211.7,0.34,4,6,43.57,Abnormal,0,0.0,0.0,0,0.0,32.8,26.3,0.0,0,-21931,PV fault,0,1,0,0,,,0
2026-06-12T17:11:55.076646,0.0,0.0,0,Abnormal,21.2,0.0,0,32,51.2,58.4,26.0,225.0,0.34,1,1,43.57,Normal,0,0.0,0.0,0,0.0,33.3,25.6,0.0,0,21845,PV shutdown,0,0,0,0,,,0
2026-06-12T17:11:58.076797,0.2,0.0,0,Abnormal,34.1,0.0,0,68,51.2,0.8,38.6,211.7,0.34,1,1,43.57,Normal,0,0.0,0.0,0,0.0,6.9,3.9,0.0,0,21845,PV fault,0,0,0,0,,,0
2026-06-12T17:12:01.077157,0.2,0.0,0,Abnormal,34.1,0.0,0,68,51.2,0.8,38.6,211.7,0.34,1,40,49.92,Normal,0,0.0,0.0,0,0.0,32.5,25.6,0.0,0,21845,PV shutdown,0,1,0,0,,,0
2026-06-12T17:12:04.077150,0.2,0.0,0,Abnormal,34.1,0.0,0,64,0.0,60.0,0.6,211.7,0.34,0,40,49.97,Abnormal,0,0.0,0.0,0,0.0,33.6,29.6,0.0,0,-1451,PV fault,0,1,0,0,,,0
2026-06-12T17:12:07.077035,0.2,0.0,0,Abnormal,34.2,0.0,0,100,0.0,8.0,26.0,7.8,0.05,34,5,43.56,Normal,0,0.0,0.0,0,0.0,33.6,29.6,0.0,0,21845,PV fault,0,1,0,0,,,0
